,STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AT1,AT2,AT3,AU1,AW1,GA1,GA2,GA3,GD1,GD2,GD3,GE1,GF1,MA1,MW1,OC1,REM,EQD
917,72066900247,2022-01-13T15:20:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,V,0015,5","22000,5,9,N","016093,5,N,5","+0200,5","+0130,5","99999,9",,,,,,"04,5,+01676,5,99,9",,,"2,99,1,+01676,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01676,1,99,9,99,9","10230,5,09962,5",,,MET07601/13/22 09:20:02 METAR KGUL 131520Z VRB03KT 10SM SCT055 20/13 A3021 RMK A01,D01      0ADE726
918,72066900247,2022-01-13T15:40:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","01676,5,M,N","016093,5,N,5","+0210,5","+0120,5","99999,9",,,,,,"07,5,+01676,5,99,9",,,"3,99,1,+01676,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01676,1,99,9,99,9","10230,5,09962,5",,,MET07601/13/22 09:40:02 METAR KGUL 131540Z 00000KT 10SM BKN055 21/12 A3021 RMK A01,
919,72066900247,2022-01-13T16:00:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0210,C","+0130,C","99999,9",,,,,,"04,5,+01676,5,99,9",,,"2,99,1,+01676,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01676,1,99,9,99,9","10230,5,09962,5",,,MET07601/13/22 10:00:02 METAR KGUL 131600Z 00000KT 10SM SCT055 21/13 A3021 RMK A01,R01    217TMP046R02    137DPT046D01      0ADE726
920,72066900247,2022-01-13T16:20:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0220,5","+0130,5","99999,9",,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10230,5,09962,5",,,MET07301/13/22 10:20:02 METAR KGUL 131620Z 00000KT 10SM CLR 22/13 A3021 RMK A01,
921,72066900247,2022-01-13T16:40:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0220,5","+0120,5","99999,9",,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10227,5,09958,5",,,MET07301/13/22 10:40:02 METAR KGUL 131640Z 00000KT 10SM CLR 22/12 A3020 RMK A01,
922,72066900247,2022-01-13T17:00:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0220,C","+0140,C","99999,9",,,,,,"02,5,+01128,5,99,9",,,"1,99,1,+01128,5,9",,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,01128,1,99,9,99,9","10227,5,09958,5",,,MET07601/13/22 11:00:02 METAR KGUL 131700Z 00000KT 10SM FEW037 22/14 A3020 RMK A01,R01    227TMP046R02    147DPT046D01      0ADE726
923,72066900247,2022-01-13T17:20:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0220,5","+0140,5","99999,9",,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10224,5,09955,5",,,MET07301/13/22 11:20:02 METAR KGUL 131720Z 00000KT 10SM CLR 22/14 A3019 RMK A01,
924,72066900247,2022-01-13T17:40:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0220,5","+0130,5","99999,9",,,,,,"02,5,+00914,5,99,9",,,"1,99,1,+00914,5,9",,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,00914,1,99,9,99,9","10220,5,09952,5",,,MET07601/13/22 11:40:02 METAR KGUL 131740Z 00000KT 10SM FEW030 22/13 A3018 RMK A01,D01      0ADE726
925,72066900247,2022-01-13T18:00:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0220,C","+0130,C","99999,9",,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10217,5,09949,5",,,MET07301/13/22 12:00:02 METAR KGUL 131800Z 00000KT 10SM CLR 22/13 A3017 RMK A01,R01    227TMP046R02    137DPT046
926,72066900247,2022-01-13T18:20:00,7,27.3,-93.533,224.0,"GUNNISON OIL PLATFORM, TX US",FM-15,KGUL ,V020,"999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0220,5","+0130,5","99999,9",,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10213,5,09945,5",,,MET07301/13/22 12:20:02 METAR KGUL 131820Z 00000KT 10SM CLR 22/13 A3016 RMK A01,
