,STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AT1,AT2,AT3,AT4,AT5,AU1,AW1,AW2,GA1,GA2,GA3,GD1,GD2,GD3,GE1,GF1,KA1,KA2,MA1,MW1,OC1,REM,EQD
31,72234654824,2022-01-01T10:35:00,7,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,KRNP ,V020,"010,5,N,0041,5","00091,5,M,N","004023,5,N,5","+0005,5","+0005,5","99999,9",,,,,,"0,0,00,1,0,1,5","10,5",,"08,5,+00091,5,99,9",,,"4,99,1,+00091,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00091,1,99,9,99,9",,,"10075,5,09809,5",,,MET09201/01/22 05:35:02 METAR KRNP 011035Z 01008KT 2 1/2SM BR OVC003 01/01 A2975 RMK AO2 T00050005,
32,72234654824,2022-01-01T10:55:00,7,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,KRNP ,V020,"010,5,N,0051,5","00091,5,M,N","003219,5,N,5","+0005,5","+0005,5","99999,9",,,,,,"0,0,00,1,0,1,5","10,5",,"08,5,+00091,5,99,9",,,"4,99,1,+00091,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00091,1,99,9,99,9",,,"10078,5,09813,5",,"0077,5",MET09101/01/22 05:55:02 METAR KRNP 011055Z 01010G15KT 2SM BR OVC003 01/01 A2976 RMK AO2 T00050005,
33,72234654824,2022-01-01T11:15:00,7,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,KRNP ,V020,"010,5,N,0051,5","00091,5,M,N","003219,5,N,5","+0002,5","+0002,5","99999,9",,,,,,"0,0,00,1,0,1,5","10,5",,"08,5,+00091,5,99,9",,,"4,99,1,+00091,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00091,1,99,9,99,9",,,"10078,5,09813,5",,,MET08801/01/22 06:15:02 METAR KRNP 011115Z 01010KT 2SM BR OVC003 00/00 A2976 RMK AO2 T00020002,
34,72234654824,2022-01-01T11:35:00,7,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,KRNP ,V020,"010,5,N,0026,5","00091,5,M,N","004023,5,N,5","+0002,5","+0002,5","99999,9",,,,,,"0,0,00,1,0,1,5","10,5",,"08,5,+00091,5,99,9",,,"4,99,1,+00091,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00091,1,99,9,99,9",,,"10081,5,09816,5",,"0082,5",MET09501/01/22 06:35:02 METAR KRNP 011135Z 01005G16KT 2 1/2SM BR OVC003 00/00 A2977 RMK AO2 T00020002,
35,72234654824,2022-01-01T11:55:00,7,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,KRNP ,V020,"020,5,N,0062,5","00152,5,M,N","004023,5,N,5","+0001,5","+0001,5","99999,9",,,,,,"0,0,00,1,0,1,5","10,5",,"08,5,+00152,5,99,9",,,"4,99,1,+00152,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00152,1,99,9,99,9","060,M,+0013,1","060,N,+0001,1","10085,5,09819,5",,,MET10401/01/22 06:55:02 METAR KRNP 011155Z 02012KT 2 1/2SM BR OVC005 00/00 A2978 RMK AO2 T00010001 10013 20001,
36,72234654824,2022-01-01T12:15:00,7,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,KRNP ,V020,"020,5,N,0041,5","00152,5,M,N","004828,5,N,5","+0000,5","+0000,5","99999,9",,,,,,"0,0,00,1,0,1,5","10,5",,"08,5,+00152,5,99,9",,,"4,99,1,+00152,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00152,1,99,9,99,9",,,"10081,5,09816,5",,,MET08801/01/22 07:15:02 METAR KRNP 011215Z 02008KT 3SM BR OVC005 00/00 A2977 RMK AO2 T00000000,
37,72234654824,2022-01-01T12:35:00,7,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,KRNP ,V020,"030,5,N,0036,5","00152,5,M,N","008047,5,N,5","+0000,5","+0000,5","99999,9",,,,,,"0,0,00,1,0,1,5","10,5",,"08,5,+00152,5,99,9",,,"4,99,1,+00152,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00152,1,99,9,99,9",,,"10088,5,09823,5",,,MET08801/01/22 07:35:02 METAR KRNP 011235Z 03007KT 5SM BR OVC005 00/00 A2979 RMK AO2 T00000000,
38,72234654824,2022-01-01T12:55:00,7,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,KRNP ,V020,"030,5,N,0041,5","00152,5,M,N","011265,5,N,5","+0000,5","+0000,5","99999,9",,,,,,,,,"08,5,+00152,5,99,9",,,"4,99,1,+00152,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00152,1,99,9,99,9",,,"10091,5,09826,5",,"0072,5",MET08801/01/22 07:55:02 METAR KRNP 011255Z 03008G14KT 7SM OVC005 00/00 A2980 RMK AO2 T00000000,
39,72234654824,2022-01-01T13:15:00,7,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,KRNP ,V020,"020,5,N,0051,5","00152,5,M,N","008047,5,N,5","+0000,5","+0000,5","99999,9",,,,,,"0,0,00,1,0,1,5","10,5",,"08,5,+00152,5,99,9",,,"4,99,1,+00152,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00152,1,99,9,99,9",,,"10098,5,09833,5",,,MET08801/01/22 08:15:02 METAR KRNP 011315Z 02010KT 5SM BR OVC005 00/00 A2982 RMK AO2 T00000000,
40,72234654824,2022-01-01T13:35:00,7,42.99306,-84.13889,224.3,"OWOSSO COMMUNITY AIRPORT, MI US",FM-15,KRNP ,V020,"020,5,N,0031,5","00152,5,M,N","008047,5,N,5","+0000,5","-0001,5","99999,9",,,,,,"0,0,00,1,0,1,5","10,5",,"08,5,+00152,5,99,9",,,"4,99,1,+00152,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00152,1,99,9,99,9",,,"10098,5,09833,5",,,MET08801/01/22 08:35:02 METAR KRNP 011335Z 02006KT 5SM BR OVC005 00/00 A2982 RMK AO2 T00001001,
