,STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AT1,AT2,AT3,AT4,AT5,AU1,AW1,AW2,GA1,GA2,GA3,GD1,GD2,GD3,GE1,GF1,KA1,KA2,KA3,KA4,MA1,MW1,OC1,REM,EQD
5064,72212504829,2022-03-11T20:55:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"240,5,N,0062,5","22000,5,9,N","016093,5,N,5","-0015,5","-0100,5","99999,9",,,,,,,,,"04,5,+01158,5,99,9",,,"2,99,1,+01158,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01158,1,99,9,99,9",,,,,"10122,5,09904,5",,,MET08803/11/22 15:55:02 METAR KHYX 112055Z 24012KT 10SM SCT038 M01/M10 A2989 RMK AO2 T10151100,D01      0ADE726
5065,72212504829,2022-03-11T21:15:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"240,5,N,0051,5","22000,5,9,N","016093,5,N,5","-0010,5","-0100,5","99999,9",,,,,,,,,"04,5,+01280,5,99,9",,,"2,99,1,+01280,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01280,1,99,9,99,9",,,,,"10119,5,09901,5",,"0098,5",MET09103/11/22 16:15:02 METAR KHYX 112115Z 24010G19KT 10SM SCT042 M01/M10 A2988 RMK AO2 T10101100,D01      0ADE726
5066,72212504829,2022-03-11T21:35:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"200,5,N,0057,5","22000,5,9,N","016093,5,N,5","-0015,5","-0088,5","99999,9",,,,,,,,,"04,5,+01219,5,99,9",,,"2,99,1,+01219,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01219,1,99,9,99,9",,,,,"10115,5,09897,5",,,MET08803/11/22 16:35:02 METAR KHYX 112135Z 20011KT 10SM SCT040 M01/M09 A2987 RMK AO2 T10151088,D01      0ADE726
5067,72212504829,2022-03-11T21:55:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"210,5,N,0062,5","22000,5,9,N","016093,5,N,5","-0016,5","-0086,5","99999,9",,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,"10115,5,09897,5",,,MET08503/11/22 16:55:02 METAR KHYX 112155Z 21012KT 10SM CLR M02/M09 A2987 RMK AO2 T10161086,
5068,72212504829,2022-03-11T22:15:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"210,5,N,0057,5","22000,5,9,N","016093,5,N,5","-0016,5","-0085,5","99999,9",,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,"10119,5,09901,5",,"0082,5",MET08803/11/22 17:15:02 METAR KHYX 112215Z 21011G16KT 10SM CLR M02/M08 A2988 RMK AO2 T10161085,
5069,72212504829,2022-03-11T22:35:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"220,5,N,0057,5","22000,5,9,N","016093,5,N,5","-0016,5","-0086,5","99999,9",,,,,,,,,"04,5,+01676,5,99,9",,,"2,99,1,+01676,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01676,1,99,9,99,9",,,,,"10115,5,09897,5",,,MET08803/11/22 17:35:02 METAR KHYX 112235Z 22011KT 10SM SCT055 M02/M09 A2987 RMK AO2 T10161086,D01      0ADE726
5070,72212504829,2022-03-11T22:55:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"220,5,N,0057,5","01676,5,M,N","016093,5,N,5","-0015,5","-0086,5","99999,9",,,,,,,,,"07,5,+01676,5,99,9",,,"3,99,1,+01676,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01676,1,99,9,99,9",,,,,"10115,5,09897,5",,,MET08803/11/22 17:55:02 METAR KHYX 112255Z 22011KT 10SM BKN055 M01/M09 A2987 RMK AO2 T10151086,
5071,72212504829,2022-03-11T23:15:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"220,5,N,0067,5","01676,5,M,N","016093,5,N,5","-0015,5","-0087,5","99999,9",,,,,,,,,"04,5,+01463,5,99,9","07,5,+01676,5,99,9",,"2,99,1,+01463,5,9","3,99,1,+01676,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01463,1,99,9,99,9",,,,,"10112,5,09894,5",,"0088,5",MET09803/11/22 18:15:02 METAR KHYX 112315Z 22013G17KT 10SM SCT048 BKN055 M01/M09 A2986 RMK AO2 T10151087,
5072,72212504829,2022-03-11T23:35:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"220,5,N,0051,5","22000,5,9,N","016093,5,N,5","-0015,5","-0087,5","99999,9",,,,,,,,,"04,5,+01524,5,99,9","04,5,+01676,5,99,9",,"2,99,1,+01524,5,9","2,99,1,+01676,5,9",,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01524,1,99,9,99,9",,,,,"10108,5,09891,5",,,MET09503/11/22 18:35:02 METAR KHYX 112335Z 22010KT 10SM SCT050 SCT055 M01/M09 A2985 RMK AO2 T10151087,D01      0ADE726
5073,72212504829,2022-03-11T23:55:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"210,5,N,0046,5","22000,5,9,N","016093,5,N,5","-0018,5","-0089,5","99999,9",,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","060,M,-0010,1","060,N,-0025,1",,,"10105,5,09887,5",,,MET09703/11/22 18:55:02 METAR KHYX 112355Z 21009KT 10SM CLR M02/M09 A2984 RMK AO2 T10181089 11010 21025,
5074,72212504829,2022-03-12T00:15:00,7,43.43333,-83.86667,182.9,"SAGINAW HARRY W BROWNE AIRPORT, MI US",FM-15,KHYX ,V020,"210,5,N,0051,5","22000,5,9,N","016093,5,N,5","-0019,5","-0087,5","99999,9",,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,"10105,5,09887,5",,,MET08503/11/22 19:15:01 METAR KHYX 120015Z 21010KT 10SM CLR M02/M09 A2984 RMK AO2 T10191087,
